id,price,brand,brandI,Amortizatoriai galiniai:,Balnelis:,Diskiniai stabdžiai:,Dviračių tipai:,Galinis permetėjas:,Kategorija:,Licencijos (filmukų herojai):,Padangos:,Pakuotė:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pardavėjas:,Pavarų perjungimo rankenėlė:,Pavarų skaičius:,Pedalai:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinis permetėjas:,Ratlankiai:,Ratų skersmuo:,Rekomend. amžius nuo:,Rekomenduojamas ūgis:,Rėmas:,Rėmo dydis:,Rūšis:,Skirta:,Stabdžių sistema:,Svoris:,Visos šio ženklo prekės:,Šakė:
908,509.0,ROMET,"Dviratis Romet Wagant 4 2024 28"", juodas/geltonas",Nėra,,Taip,Trekking,Shimano Acera RD-M3020,Dviračiai,,,,"1,52 x 0,8 x 0,55 m, 15 kg",,"Pigu.lt, 					            Minced, 					            PowerSPORT",SHIMANO ST-EF500,21,,79732575,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"28 """,,"185-195 cm, 					            188-197 cm",Aliuminis,23 cm,"Romet, trekking dviračiai",Vyrams,Diskiniai mechaniniai,18.4 kg,Visos ROMET prekės,Suntour NEX63 mm
909,429.0,ROMET,"Dviratis Romet Jolene 6.3 2024 black-pink-17"" / M",Nėra,,Taip,Kalnų,Nenurodyta,Dviračiai,,,140 x 80 x 20 cm,"1,4 x 0,2 x 0,75 m, 17 kg",,"GravaLV, 					            Minced",Shimano ST-EF505 3-pavarų / Shimano ST-EF505 8-pavarų,24,FP-971 aliumininiai,79750565,1 vnt.,Romet,Shimano TY700,26,"26 """,,163-172 cm,Aliuminis,17 cm,"Romet, kalnų dviračiai",Moterims,Diskiniai hidrauliniai,15.1 kg,Visos ROMET prekės,Suntour XCE
910,1802.94,ROMET,"Dviratis Romet Aspre 2 2024, 28'', smėlio",Nėra,,Taip,Miesto,Shimano RD-RX400,Dviračiai,,,,"1,52 x 0,55 x 0,8 m, 15 kg",,Minced,Shimano GRX RX400,20,,80037510,1 vnt.,Romet,Nenurodyta,Ryde DP19,"28 """,,165-175 cm,Aliuminis,21 cm,"Romet, miesto dviračiai",Vyrams,Diskiniai hidrauliniai,11 kg,Visos ROMET prekės,Anglies pluošto
911,375.21,ROMET,"Dviratis paaugliams Romet Rambler R6.1 JR 2024, 26'', juodas, žalias",Nėra,,Ne,Kalnų,Shimano Tourney TY300,Dviračiai,,,,"0,28 x 0,06 x 0,05 m, 0,17 kg",,Velomarket OÜ,Shimano ST-EF41,21,,80037670,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"26 """,,165-178 cm,Aliuminis,17 cm,"Romet, kalnų dviračiai",Vyrams,V formos stabdžiai,13.4 kg,Visos ROMET prekės,Amortizuojanti
912,597.75,ROMET,"Dviratis Romet Wagant 2 2024, 28'', pilkas, grafito",Nėra,,Taip,Trekking,Shimano Altus RD-M310,Dviračiai,,,,"0,25 x 0,25 x 0,15 m, 0,2 kg",,"Minced, 					            PowerSPORT",SHIMANO ST-EF500,21,,80037715,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"28 """,,165-178 cm,Aliuminis,19 cm,"Romet, trekking dviračiai",Vyrams,Diskiniai mechaniniai,17 kg,Visos ROMET prekės,Amortizuojanti
913,855.46,Pegasus,"Miesto dviratis Pegasus 26'', raudonas",Nėra,,,Miesto,Shimano Nexus 3,Dviračiai,,,,"1,94 x 0,21 x 1,16 m, 21,8 kg",,Solit,Nenurodyta,3,,80153775,1 vnt.,Pegasus,Nenurodyta,Aliuminiai,"26 """,,170-185 cm,Aliuminis,17 cm,"Pegasus, miesto dviračiai",Universalus,V formos stabdžiai,15 kg,Visos Pegasus prekės,Plienas
914,770.89,Pegasus,"Miesto dviratis Pegas Strada 26'', mėlynas",Yra,,,Miesto,Shimano Nexus,Dviračiai,,,,"1,92 x 0,22 x 1,15 m, 21 kg",,Solit,Nenurodyta,1,,80155650,1 vnt.,Pegasus,Nenurodyta,-,"26 """,,160-185 cm,Aliuminis,17 cm,"Pegasus, miesto dviračiai",Universalus,V formos stabdžiai,16.5 kg,Visos Pegasus prekės,Plienas
915,763.96,Pegasus,"Miesto dviratis Pegasus 20'', raudonas",Nėra,,,Miesto,Shimano Tourney,Dviračiai,,,,"1,45 x 0,21 x 0,85 m, 18 kg",,Solit,Nenurodyta,7,,80161705,1 vnt.,Pegasus,Nenurodyta,Plieniniai,"20 """,,160-185 cm,Plieninis,13 cm,"Pegasus, miesto dviračiai",Universalus,V formos stabdžiai,15 kg,Visos Pegasus prekės,Plienas
916,577.07,ROMET,"Dviratis Romet Rambler R7.3 2024, 27.5'', mėlynas, geltonas",Nėra,,Taip,Kalnų,Shimano Acera RD-M3020 SGS,Dviračiai,,,,"0,35 x 0,2 x 0,15 m, 0,2 kg",,Minced,Shimano ST-EF505,24,,80190495,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"27.5 """,,165-178 cm,Aliuminis,18 cm,"Romet, kalnų dviračiai",Vyrams,Diskiniai hidrauliniai,15 kg,Visos ROMET prekės,Suntour XCT
917,225.0,Retro,"Miesto dviratis Retro 28', raudonas",Nėra,,,Miesto,TORPEDO,Dviračiai,,,,"1,44 x 0,87 x 0,21 m, 15 kg",,RoweroSfera,Nenurodyta,1,,80351985,1 vnt.,Retro,Nenurodyta,Plieniniai,"28 """,,170-180 cm,Aliuminis,28 cm,"Retro, miesto dviračiai",Universalus,Nenurodyta,- kg,Visos Retro prekės,Standi
918,229.0,Retro,"Miesto dviratis Retro 26'', žalias",Nėra,,,Miesto,TORPEDO,Dviračiai,,,,"1,44 x 0,87 x 0,21 m, 15 kg",,RoweroSfera,Nenurodyta,1,,80351995,1 vnt.,Retro,Nenurodyta,Aliuminiai,"26 """,,170-180 cm,Plieninis,26 cm,"Retro, miesto dviračiai",Universalus,V formos stabdžiai,- kg,Visos Retro prekės,Standi
919,209.0,SHIMANO,"Miesto dviratis Shimano Jubilat Uniwersal 24', žalias",Nenurodyta,,,Miesto,TORPEDO,Dviračiai,,,,"1,44 x 0,87 x 0,21 m, 15 kg",,RoweroSfera,Shimano Nexus,1,,80352050,1 vnt.,Shimano,Nenurodyta,-,"26 """,,160-185 cm,Plieninis,24 cm,"Shimano, miesto dviračiai",Universalus,Nenurodyta,- kg,Visos SHIMANO prekės,Plienas
920,289.0,SHIMANO,"Miesto dviratis Shimano 24', žalias",Nėra,,,Miesto,Shimano Nexus,Dviračiai,,,,"1,44 x 0,21 x 0,87 m, 15 kg",,RoweroSfera,Shimano Nexus 3,3,,80352155,1 vnt.,Shimano,Nenurodyta,-,"26 """,,160-185 cm,Aliuminis,24 cm,"Shimano, miesto dviračiai",Universalus,V formos stabdžiai,- kg,Visos SHIMANO prekės,Plienas
921,284.0,Classic,"Miesto dviratis Classic Funk 24"", pilkas",Nėra,,,Miesto,Nėra,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Nėra,1,,80361325,1 vnt.,Classic,Nėra,Nenurodyta,"24 """,,165-195 cm,Aliuminis,24 cm,"Classic, miesto dviračiai",Universalus,V-Brake,14.9 kg,Visos Classic prekės,Rigid Hi-Ten
922,507.0,Classic,"Miesto dviratis Classic Deluxe 28"", rudas",Nėra,,,Miesto,Shimano Nexus 7,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Yra,7,,80361380,1 vnt.,Classic,Nėra,Nenurodyta,"28 """,,165-185 cm,Plieninis,28 cm,"Classic, miesto dviračiai",Moterims,V-Brake,- kg,Visos Classic prekės,Plienas
923,507.0,Classic,"Miesto dviratis Classic Elegance Eq 28"", violetinis",Nėra,,,Miesto,Shimano Nexus 3,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Yra,3,,80361385,1 vnt.,Classic,Nėra,Nenurodyta,"28 """,,165-185 cm,Plieninis,28 cm,"Classic, miesto dviračiai",Moterims,V-Brake,17.50 kg,Visos Classic prekės,Plienas
924,507.0,Classic,"Miesto dviratis Classic Avenue 7 EQ 28"", baltas",Nėra,,,Miesto,Shimano Revo SL-RS36,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Yra,7,,80361440,1 vnt.,Classic,Nenurodyta,Nenurodyta,"28 """,,160-185 cm,Aliuminis,28 cm,"Classic, miesto dviračiai",Universalus,V-Brake,15.5 kg,Visos Classic prekės,Aliuminis
925,538.0,Classic,"Kalnų dviratis Classic Pro 29"", pilkas",Nėra,,,Kalnų,Shimano Altus,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Yra,24,,80361460,1 vnt.,Classic,Nenurodyta,Nenurodyta,"29 """,,"160-180 cm, 					            180-200 cm",Aliuminis,29 cm,"Classic, kalnų dviračiai",Vyrams,Shimano MT-200,- kg,Visos Classic prekės,HL-565
926,487.0,Classic,"Miesto dviratis Classic Team 29"", baltas",Nėra,,,Miesto,Shimano Tourney TY-300,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Yra,21,,80361480,1 vnt.,Classic,Nenurodyta,Nenurodyta,"29 """,,165-195 cm,Aliuminis,29 cm,"Classic, miesto dviračiai",Universalus,V-Brake,14 kg,Visos Classic prekės,Aliuminis
927,1321.01,Classic,"Kalnų dviratis Classic Gravel Disc 49 28"", žalias",Nėra,,,Kalnų,Shimano GRX RD-RX812,Dviračiai,,,,"0,01 x 0,011 x 0,01 m, 20 kg",,Dviračių arena,Yra,24,,80361535,1 vnt.,Classic,Nenurodyta,Nenurodyta,"28 """,,160-185 cm,Aliuminis,28 cm,"Classic, kalnų dviračiai",Vyrams,Shimano GRX BR-RX400,- kg,Visos Classic prekės,Anglies pluošto
928,289.95,PUKY,"Miesto dviratis Puky YOUKE 16"", violetinis",Nėra,,,Miesto,Nėra,Dviračiai,,,,"0,4 x 0,19 x 0,22 m, 6,17 kg",,Dviračių arena,Nėra,Nenurodyta,,80777300,1 vnt.,Puky,Nėra,16,"16 """,,140-152 cm,Aliuminis,16 cm,"Puky, miesto dviračiai",Moterims,V-Brake,8.2 kg,Visos PUKY prekės,Nenurodyta
929,399.95,PUKY,"Vaikiškas dviratis Puky LS-PRO 16"", raudonas",Nėra,,,Vaikiški,Nėra,Dviračiai,,,,"0,62 x 0,15 x 0,2 m, 0,45 kg",,Dviračių arena,Nėra,Nenurodyta,,80777520,1 vnt.,Puky,Nėra,Nenurodyta,"16 """,,120-140 cm,Aliuminis,16 cm,"Puky, vaikiški dviračiai",Universalus,V-Brake,5.9 kg,Visos PUKY prekės,Aliuminis
930,399.95,PUKY,"Vaikiškas dviratis Puky LS-PRO 16"", rožinis",Nėra,,,Vaikiški,Nėra,Dviračiai,,,,"0,62 x 0,15 x 0,2 m, 0,45 kg",,Dviračių arena,Nėra,Nenurodyta,,80777525,1 vnt.,Puky,Nėra,Nenurodyta,"16 """,,120-140 cm,Aliuminis,16 cm,"Puky, vaikiški dviračiai",Mergaitėms,V-Brake,5.9 kg,Visos PUKY prekės,Aliuminis
931,2599.0,Bulls,"Miesto dviratis 28"" Bulls Machete Gravel, mėlynas",Nenurodyta,,,Miesto,Shimano GRX FD-RX400,Dviračiai,,,,"0,14 x 0,011 x 0,09 m, 0,1 kg",,Dviračių arena,SHIMANO,1,,80998920,1 vnt.,Bulls,Nenurodyta,Aliuminiai,"28 """,,170-185 cm,Aliuminis,11 cm,"Bulls, miesto dviračiai",Vyrams,Nenurodyta,- kg,Visos Bulls prekės,Nenurodyta
932,169.34,Huffy,"Vaikiškas dviratis 14"" Huffy 24691W, mėlynas",Nėra,,,Vaikiški,SHIMANO,Dviračiai,,,,"0,5 x 0,4 x 0,3 m, 2,1 kg",,"Pigu.lt, 					            Kouket, 					            Brandberry, 					            Eventure, 					            Vitalimax, 					            Digitooted OÜ, 					            KAM Trade SIA",SHIMANO,Nenurodyta,,81126040,1 vnt.,Huffy,Nenurodyta,Aliuminiai,"14 """,,120-150 cm,Plieninis,14 cm,"Huffy, vaikiški dviračiai",Universalus,Nenurodyta,10 kg,Visos Huffy prekės,Plienas
933,159.0,Sun Baby,"Vaikiškas dviratis Sun Baby 14"", violetinis",V-Brake,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,82 x 0,22 x 0,44 m, 12 kg",,Sun baby,Nenurodyta,1,,81128390,1 vnt.,Sun baby,Nenurodyta,-,"14 """,,100-105 cm,Aliuminis,14 cm,"Sun baby, vaikiški dviračiai",Universalus,V-Brake,- kg,Visos Sun Baby prekės,Nenurodyta
934,148.99,Sun Baby,"Vaikiškas dviratis Sun Baby 16"", rožinis",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,94 x 0,22 x 0,48 m, 13 kg",,Sun baby,Nenurodyta,Nenurodyta,,81128440,1 vnt.,Sun baby,Nenurodyta,"16"" aliumininiai","16 """,,105-115 cm,Metalinis,16 cm,"Sun baby, vaikiški dviračiai","Berniukams, 					            Mergaitėms",Nenurodyta,13 kg,Visos Sun Baby prekės,Nenurodyta
935,7.99,,Pelė su nuotolinio valdymo pultu,,,,,,Dviračiai,,,,"0,22 x 0,09 x 0,13 m, 0,2 kg",,Larnis,,,,81462735,1 vnt.,,,,,,,,,,,,,,
936,10.99,,"Minkštas kilimėlis - dėlionė Gyvūnai ir skaičiai, 9 d.",,,,,,Dviračiai,,,,"0,32 x 0,14 x 0,32 m, 0,35 kg",,Larnis,,,,81463050,1 vnt.,,,,,,,,,,,,,,
937,1579.0,Beaster,"Sulankstomas dviratis Beaster BS127B 20"", juodas",Nenurodyta,,,Sulankstomi,SHIMANO,Dviračiai,,,,"0,82 x 0,37 x 0,7 m, 10,5 kg",,"Pigu.lt, 					            Krinona",Shimano Sora,Nenurodyta,,81569965,1 vnt.,Beaster,Nenurodyta,20,"20 """,,160-180 cm,Aliuminis,20 cm,"Beaster, sulankstomi dviračiai",Universalus,Shimano Altus,10 kg,Visos Beaster prekės,Nenurodyta
938,1579.0,Beaster,"Sulankstomas dviratis Beaster BS128S 20"", pilkas",Nenurodyta,,,Sulankstomi,SHIMANO,Dviračiai,,,,"0,82 x 0,37 x 0,7 m, 10,5 kg",,"Pigu.lt, 					            Krinona",Shimano Sora,Nenurodyta,,81569970,1 vnt.,Beaster,Nėra,20,"20 """,,160-180 cm,Aliuminis,20 cm,"Beaster, sulankstomi dviračiai",Universalus,Shimano Altus,10 kg,Visos Beaster prekės,Nenurodyta
939,134.47,Toimsa,"Vaikiškas dviratis Toimsa 12"", baltas",Yra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,1 x 0,11 x 0,1 m, 1 kg",,"Pigu.lt, 					            Kouket, 					            Brandberry, 					            Eventure, 					            Vitalimax, 					            Digizone, 					            Digitooted OÜ, 					            KAM Trade SIA",Nenurodyta,Nenurodyta,,81840510,1 vnt.,Toimsa,Nenurodyta,Plieniniai,"12 """,,98-112 cm,Plieninis,12 cm,"Toimsa, vaikiški dviračiai",Universalus,Nenurodyta,9 kg,Visos Toimsa prekės,Plienas
940,528.24,ROMET,"Kalnų dviratis Romet Rambler R6.2 26"", pilkas/mėlynas",Nėra,,,Kalnų,Shimano Tourney TY300,Dviračiai,,,,"0,25 x 0,2 x 0,35 m, 2,007 kg",,,Yra,21,,81961515,1 vnt.,Romet,Nenurodyta,Nenurodyta,"26 """,,153-160 cm,Aliuminis,14 cm,"Romet, kalnų dviračiai",Universalus,Diskiniai mechaniniai,14.2 kg,Visos ROMET prekės,Nenurodyta
941,751.76,ROMET,"Kalnų dviratis Romet Wagant 5 28"", rudas",Nėra,,,Kalnų,Shimano Acera RD-M3020,Dviračiai,,,,"0,15 x 0,05 x 0,05 m, 0,1 kg",,"Minced, 					            PowerSPORT",Yra,24,,81961585,1 vnt.,Romet,Nenurodyta,Nenurodyta,"28 """,,160-170 cm,Aliuminis,19 cm,"Romet, kalnų dviračiai",Universalus,V-Brake,18.4 kg,Visos ROMET prekės,Nenurodyta
942,2599.0,Bulls,"Hibridinis dviratis Bulls Machete Gravel 28"", juodas",Nėra,,,Hibridiniai,SHIMANO,Dviračiai,,,,"0,1 x 0,11 x 0,1 m, 1 kg",,Dviračių arena,Yra,21,,82165370,1 vnt.,Bulls,Nenurodyta,Nenurodyta,"28 """,,160-180 cm,Aliuminis,28 cm,"Bulls, hibridiniai dviračiai",Vyrams,Diskiniai hidrauliniai,- kg,Visos Bulls prekės,Nenurodyta
943,156.72,Enero,Vaikiškas dviratis - Enero Tornado,Nenurodyta,,,Miesto,Nenurodyta,Dviračiai,,,,"0,45 x 0,5 x 0,5 m, 10,6 kg",,ABC Žaislai,Nenurodyta,1,,82209665,1 vnt.,Enero,Nenurodyta,Plieniniai,"12 """,2 m.,85-100 cm,Plieninis,8.5 cm,"Enero, miesto dviračiai","Berniukams, 					            Mergaitėms, 					            Universalus","Priekiniai – V-tipo, galiniai – pedalų",10.7 kg,Visos Enero prekės,Plienas
944,224.42,Bisan,"Miesto dviratis Bisan Roadstar GL 26"", raudonas",Nėra,City saddle,,Miesto,Nėra,Dviračiai,,"CST (26*1,75)",,"1,81 x 0,18 x 1,13 m, 16 kg",,"IT Sales, 					            IT Company SIA",Nėra,1,,82910815,1 vnt.,Bisan,Nėra,26,"26 """,,190-200 cm,Plieninis,23 cm,"Bisan, miesto dviračiai",Universalus,V-Brake,- kg,Visos Bisan prekės,Plienas
945,142.0,Huffy,"Vaikiškas dviratis Huffy Ignyte 20"", raudonas",Nenurodyta,,,"Sulankstomi, 					            Vaikiški",Nenurodyta,Dviračiai,,,,"0,1 x 0,8 x 0,6 m, 10 kg",,Pigu.lt,Nenurodyta,1,,83534650,1 vnt.,Huffy,Nenurodyta,-,"20 """,,113-140 cm,Metalinis,20 cm,"Huffy, sulankstomi dviračiai,                                                                                             Huffy, vaikiški dviračiai","Berniukams, 					            Mergaitėms",Galinis kojos stabdys,- kg,Visos Huffy prekės,Nenurodyta
946,196.03,Huffy,"Vaikiškas dviratis Scood Huffy Disney 16"" , violėtinis",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,25 x 1,1 x 0,61 m, 13 kg",,Yupi,Nenurodyta,Nenurodyta,,83748665,1 vnt.,Huffy,Nenurodyta,Nenurodyta,"16 """,,104-116 cm,Plieninis,16 cm,"Huffy, vaikiški dviračiai",Mergaitėms,Nenurodyta,10 kg,Visos Huffy prekės,Nenurodyta
947,499.0,,"Vaikiškas dviratis Woom 16"", raudonas",Nėra,Nenurodyta,Ne,Vaikiški,Nenurodyta,Dviračiai,,Nenurodyta,140 x 80 x 20 cm,"1,4 x 0,8 x 0,2 m, 20 kg",,Biketek,Nenurodyta,1,Nenurodyta,84171733,1 vnt.,Nenurodyta,Nenurodyta,16,"16 """,2 m.,90-130 cm,Aliuminis,14 cm,"Nenurodyta, vaikiški dviračiai",Universalus,V-tipo,- kg,Visos Nenurodyta prekės,Nenurodyta
948,489.02,Rock Machine,"Kalnų dviratis Rock Machine Manhattan 29"", sidabrinis",Nėra,,,Kalnų,S-Ride RDM300,Dviračiai,,,,"1,9 x 0,3 x 1,2 m, 22,4 kg",,"IT Sales, 					            IT Company SIA",S-Ride SLM300,18,,84442380,1 vnt.,Rock Machine,Nenurodyta,Nenurodyta,"29 """,,160-175 cm,Aliuminis,15 cm,"Rock Machine, kalnų dviračiai",Vyrams,SHIMANO,14.5 kg,Visos Rock Machine prekės,Nenurodyta
949,293.02,Bisan,"Miesto dviratis Bisan 28"" Serenity (PR10010419) 19, smėlio spalvos/sidabrinis",Nėra,Selle Royal,,Miesto,Shimano Nexus SG-3R40,Dviračiai,,"Mitas/CST (28*1,75)",,"1,81 x 0,18 x 1,13 m, 16 kg",,"IT Sales, 					            IT Company SIA","Shimano Nexus, SL-3S41E",3,,84442500,1 vnt.,Bisan,Nenurodyta,-,"28 """,,165-170 cm,Plieninis,19 cm,"Bisan, miesto dviračiai",Moterims,V-tipo,17.6 kg,Visos Bisan prekės,Plienas
950,176.0,Gokidy,"Vaikiškas dviratis GoKidy 14"" Dude (DUD.1401), oranžinis",Nėra,,,Vaikiški,Nėra,Dviračiai,,,,"1,76 x 0,18 x 1,1 m, 16 kg",,"IT Sales, 					            IT Company SIA",Nėra,1,,84442580,1 vnt.,Gokidy,Nenurodyta,Nenurodyta,"16 """,,100-110 cm,Aliuminis,11 cm,"Gokidy, vaikiški dviračiai",Mergaitėms,V-tipo,8 kg,Visos Gokidy prekės,Nenurodyta
951,176.0,Gokidy,"Vaikiškas dviratis GoKidy 14"" Dude (DUD.1403), raudonas",Nėra,,,Vaikiški,Nėra,Dviračiai,,,,"1,76 x 0,18 x 1,1 m, 16 kg",,"IT Sales, 					            IT Company SIA",Nėra,1,,84442595,1 vnt.,Gokidy,Nenurodyta,Nenurodyta,"16 """,,100-110 cm,Aliuminis,11 cm,"Gokidy, vaikiški dviračiai",Mergaitėms,V-tipo,8 kg,Visos Gokidy prekės,Nenurodyta
952,318.24,Royal Baby,"Vaikiškas dviratis Royal Baby Space Shuttle 16"", violetinis",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,16 x 0,19 x 0,64 m, 0,1 kg",,ABC Žaislai,Nenurodyta,Nenurodyta,,84785330,1 vnt.,Royal Baby,Nenurodyta,-,"18 """,,145-165 cm,Aliuminis,16 cm,"Royal Baby, vaikiški dviračiai",Mergaitėms,Nenurodyta,9.6 kg,Visos Royal Baby prekės,Amortizuojanti
953,352.98,Royal Baby,"Miesto dviratis RoyalBaby 18"", pilkas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,3 x 0,75 x 0,19 m, 12,5 kg",,Žaislų kalnas,Nenurodyta,1,,84860155,1 vnt.,Royal Baby,Nenurodyta,Nenurodyta,"18 """,,120-140 cm,Aliuminis,18 cm,"Royal Baby, vaikiški dviračiai","Berniukams, 					            Universalus",Diskiniai,- kg,Visos Royal Baby prekės,Aliuminis
954,352.75,SHIMANO,"Dviratis - Shimano, 26"", juodas",Nenurodyta,,,Kalnų,SHIMANO Tourney TZ,Dviračiai,,,,"0,9 x 0,9 x 0,9 m, 9 kg",,ABC Žaislai,Pole täpsustatud,7,,85651025,1 vnt.,Shimano,Shimano,"18"" aliuminiai","26 """,,150-180 cm,Aliuminis,18 cm,"Shimano, kalnų dviračiai",Universalus,Diskiniai mechaniniai,14 kg,Visos SHIMANO prekės,Nenurodyta
955,352.75,SHIMANO,"Dviratis - Shimano, 26"", pilkas",Nenurodyta,,,Vaikiški,SHIMANO,Dviračiai,,,,"0,89 x 0,9 x 0,9 m, 4 kg",,ABC Žaislai,Nenurodyta,3,,85651060,1 vnt.,Shimano,Shimano,Nenurodyta,"26 """,,150-180 cm,Aliuminis,18 cm,"Shimano, vaikiški dviračiai","Berniukams, 					            Mergaitėms",Diskiniai mechaniniai,14 kg,Visos SHIMANO prekės,Nenurodyta
956,282.0,Arkus & Romet,Dviratis Romet Rambler 20 KID 2 2024 turquoise-blue,,,,,Shimano Tourney RD-FT35,Dviračiai,,,,"2 x 0,5 x 1 m, 11,5 kg",,"Pigu.lt, 					            Velomarket OÜ, 					            PowerSPORT",,,,85740720,1 vnt.,Arkus & Romet,,,"20 """,,,,,,,,115 kg,Visos Arkus & Romet prekės,
957,216.32,,Royal Baby 16 dviratis,,,,,,Dviračiai,,,,"1,12 x 0,17 x 0,63 m, 12,3 kg",,"ABC Žaislai, 					            Vitalimax, 					            Minced",,,,86132930,1 vnt.,,,,,,,,,,,,,,
958,212.01,Royal Baby,"Vaikiškas dviratis Royal Baby 18"", raudonas",Nenurodyta,,,Vaikiški,Nėra,Dviračiai,,,,"1,24 x 0,17 x 0,67 m, 15,1 kg",,Žaislų kalnas,Nėra,1,,86198170,1 vnt.,Royal Baby,Nėra,Nenurodyta,"18 """,,116-148 cm,Plieninis,18 cm,"Royal Baby, vaikiški dviračiai",Berniukams,V formos stabdžiai,12.8 kg,Visos Royal Baby prekės,Plienas
959,144.0,,"Vaikiškas dviratis Schumacher Kid Smart 20"", pilkas",Nenurodyta,,,"Miesto, 					            Vaikiški",Nenurodyta,Dviračiai,,,,"1,08 x 0,21 x 0,55 m, 14 kg",,Vaikutis,Nenurodyta,Nenurodyta,,86266915,1 vnt.,Nenurodyta,Nenurodyta,Plieniniai,"20 """,6 m.,120-140 cm,Plieninis,20 cm,"Nenurodyta, miesto dviračiai,                                                                                             Nenurodyta, vaikiški dviračiai","Berniukams, 					            Mergaitėms, 					            Universalus","Priekiniai - U-tipo, galiniai - pedalų",14 kg,Visos Nenurodyta prekės,Kieta
960,2299.99,NINER,"Niner RLT 2-star dviratis, Pilkas/Mėlyna, 56",,,,,,Dviračiai,,,,"1,95 x 0,25 x 1,2 m, 25 kg",,"Pigu.lt, 					            Solit, 					            Digitooted OÜ",,,,86384705,1 vnt.,Niner,,,,,,,,,,,,Visos NINER prekės,
961,518.55,vidaXL,"Kalnų dviratis 26"", raudonas",Nenurodyta,,,Kalnų,Nenurodyta,Dviračiai,,,,"1,14 x 0,67 x 0,69 m, 17,37 kg",,Pro Baltic,Nenurodyta,21,,87805690,1 vnt.,vidaXL,Nenurodyta,Aliuminiai,"26 """,,170-180 cm,Aliuminis,19 cm,"vidaXL, kalnų dviračiai",Universalus,Nenurodyta,- kg,Visos vidaXL prekės,Amortizuojanti
962,83.02,Proline,GIMMIK CARI sulankstomas paspirtukas 145 mm ratukais juodas ProLine,,,,,,Dviračiai,,,,"0,5 x 0,3 x 0,2 m, 0,2 kg",,"EasyShop, 					            LinePro",,,,89762990,1 vnt.,ProLine,,,,,,,,,,,,Visos Proline prekės,
963,59.77,KidsPro,Trike Fix Mini krosinis triratukas 3in1 su pedalais raudonos spalvos KidsPro,,,,,,Dviračiai,,,,"0,61 x 0,17 x 0,21 m, 0,2 kg",,"EasyShop, 					            LinePro",,,,89787220,1 vnt.,KidsPro,,,,,,,,,,,,Visos KidsPro prekės,
964,64.02,KidsPro,Gravitacijos kalneliai šviečiantys LED ratai rožinės spalvos KidsPro,,,,,,Dviračiai,,,,"0,8 x 0,26 x 0,29 m, 0,2 kg",,LinePro,,,,89787225,1 vnt.,KidsPro,,,,,,,,,,,,Visos KidsPro prekės,
965,62.42,KidsPro,"Automobilinis vežimėlis su garsu ir šviesomis, mėlynos spalvos KidsPro",,,,,,Dviračiai,,,,"0,66 x 0,29 x 0,27 m, 0,2 kg",,LinePro,,,,89787275,1 vnt.,KidsPro,,,,,,,,,,,,Visos KidsPro prekės,
966,50.67,KidsPro,Triratis Fix Balance krosinis dviratis juodos ir mėlynos spalvos KidsPro,,,,,,Dviračiai,,,,"0,57 x 0,3 x 0,16 m, 0,2 kg",,"EasyShop, 					            LinePro",,,,89787300,1 vnt.,KidsPro,,,,,,,,,,,,Visos KidsPro prekės,
967,158.09,KidsPro,"Triratis ""Trike Fix V3"" triratis pilkos spalvos KidsPro",,,,,,Dviračiai,,,,"0,71 x 0,4 x 0,34 m, 0,2 kg",,LinePro,,,,89787305,1 vnt.,KidsPro,,,,,,,,,,,,Visos KidsPro prekės,
968,282.0,,"Dviračio AL 26"" Formula MOTION AM DD rėmas-13"" mėlynas",Nenurodyta,,,Miesto,Nenurodyta,Dviračiai,,,,"1,41 x 0,82 x 0,21 m, 15,2 kg",,Gibox,Nenurodyta,Nenurodyta,,90617186,1 vnt.,Nenurodyta,Nenurodyta,Nenurodyta,"26 """,,153-160 cm,Aliuminis,13 cm,"Nenurodyta, miesto dviračiai",Universalus,Nenurodyta,15.2 kg,Visos Nenurodyta prekės,Nenurodyta
