id,title,price,brand,Montavimo tipas,Energijos klasė,Valdymas,Spalva,Talpa (L),Tipas,Aukštis (cm),Plotis,Gylis,Metinės energijos sąnaudos,Garso lygio klasė,Gamintojas
282,Įmontuojamas šaldytuvas-šaldiklis Liebherr ICNSF 5103,969.99,Liebherr,Montuojami,F,,Balta,183.0,Su kamera apačioje,177.2,,,,,Liebherr
283,Šaldytuvas ELECTROLUX LFB3AE12S,456.99,Electrolux,Įmontuojami,E,,Balta,,,121.8,,,,,Electrolux
284,First Austria Mini baras-šaldytuvas First FA-5172-2 40L,178.90,First Austria,Laisvai statomi,E,,Juoda,40.0,Mini,55.0,,,,,First Austria
285,Šaldytuvas Gorenje NRK6182PS4,428.90,,Laisvai statomi,E,,Pilka,207.0,Su kamera apačioje,178.5,,,,,Gorenje
286,Įmontuojamas šaldytuvas Samsung BRB30705DWW,795.99,Samsung,Pastatytas,D,Vidinis elektroninis valdymas,Balta,297.0,Šaldytuvas su apatiniu šaldikliu,193.5,54.0,55.0,183,B,Samsung
287,"Bosch Bsh Fclg Giengen Serija 4, Įmontuojamasis šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 177.2 x 54.1 cm, slankiojantis vyris KIV86VSE0",688.40,,Įmontuojami,A++,,Balta,269.0,Su kamera apačioje,177.2,,,,,Bosch
288,"Šaldytuvas Bosch KGN362LDF 4 serija, Nerūdijančio plieno efektas",717.58,,Laisvai statomi,D,,Sidabrinė,321.0,Su kamera apačioje,186.0,,,,,Bsh Fclwr Wroclaw
289,Šaldytuvas su viršutiniu šaldikliu MPM-216-CF-26 Inox,299.99,MPM,Laisvai statomi,E,,"Sidabrinė

Pilka",145.0,Su kamera viršuje,142.0,,,,,MPM
290,Šaldytuvas Snaigė FR24SM-PRDO0E3,409,Snaigė,Laisvai pastatomos,A++,,Raudona,162.0,Fridge with top freezer,147.5,56.0,63.0,184,C,Snaigė
291,INDESIT | LI7 SN1E X | Šaldytuvas | Energy efficiency class F | Free standing | Combi | Height 176.3 cm | No Frost system | Šaldytuvas net capacity 197 L | Šaldiklis net capacity 98 L | 40 dB | Nerūdijantis plienas,459.79,,Laisvai statomi,F,,Sidabrinė,295.0,Su kamera apačioje,176.3,,,,,Indesit
292,Šaldytuvas Berk BRD-1455 W,242.99,Berk,,F,,Balta,206.0,Su kamera viršuje,143,,,,,Berk
293,"Šaldytuvas Ravanson LKK-210RB (545mm x 1470mm x 585 mm, 157l, Class A++, juodos spalvos)",435.99,Ravanson,Laisvai statomi,A++,,Juoda,157.0,Laisvai pastatomas,147.0,54.5,58.5,,,Ravanson
294,LIEBHERR IRBe 5120 Plus BioFresh Integruojamas šaldytuvas su „BioFresh“,1769.99,Liebherr,Įmontuojami,E,,Balta,294.0,Be kameros,177.2,,,,,Liebherr
295,Šaldytuvas Candy COT1S45EW,152.17,Candy,Laisvai statomi,E,,Balta,106.0,Šaldytuvas-Šaldytuvas,84.0,500 mm,570 mm,,,Candy
296,Šaldytuvas Severinas RKS 8832,334.84,Severin,Laisvai pastatoma,D,,Juoda,108.0,Su kamera viduje,89.5,55.0,61.5,,,Severin
297,Šaldytuvas BOSCH KIS86AFE0,875.99,Bosch,Įmontuojami,E,,Balta,266.0,Su kamera apačioje,177.2,,,,,Bosch
298,LG | Šaldytuvas | GBV5240DSW | Energy efficiency class D | Free standing | Combi | Height 203 cm | No Frost system | Šaldytuvas net capacity 277 L | Šaldiklis net capacity 110 L | Ekranas | 35 dB | Baltas,590.49,LG,Laisvai pastatoma,D,,Balta,387.0,Su kamera apačioje,203.0,59.5,68.2,,,LG
299,"Bosch Bsh Fclwr Wroclaw Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 186 x 60 cm, Baltas KGN362WDF",665.99,,Laisvai statomi,D,,Balta,321.0,Su kamera apačioje,186.0,,,,,Bosch
300,Šaldytuvas GORENJE NRK6202AC4,609.99,Gorenje,Laisvai pastatomos,E,External electronic control,Kreminis,235.0,Šaldytuvas su apatiniu šaldikliu,200.0,60.0,59.2,246,C,Gorenje
301,Šaldytuvas Whirlpool WHC20 T352,655.99,Whirlpool,Integruota,E,,Pilnai įmontuojama,280.0,Su kamera apačioje,193.5,54.0,54.5,,,Whirlpool
302,"Bosch Bsh Fcle Esquiroz Serija 8, Laisvai statomas šaldytuvas, 186 x 60 cm, Šlifuotas plienas, atsparus pirštų atspaudams KSF36PIDP",1069.10,,Laisvai statomi,D,,Sidabrinė,309.0,Be kameros,186.0,,,,,Bosch
303,Šaldytuvas Snaigė RF31SM-S0002E0,372.26,Snaigė,Laisvai pastatomos,E,Mechaninis,Balta,175.0,Šaldytuvas su apatiniu šaldikliu,176.0,60.0,65.0,222,C,Snaigė
304,Šaldytuvas BEKO BU1104N,265.71,Beko,Įmontuojami,E,,Balta,130.0,Pastatas,81.8,59.5,54.5,,,Beko
305,"Candy Šaldytuvas CCTLS 542WHN Energy efficiency class F, Free standing, Larder, Height 85 cm, Šaldytuvas net capacity 127 L, 39 dB, Baltas",197.42,,Laisvai statomi,F,,Balta,127.0,Be kameros,85.0,,,,,Candy
306,Šaldytuvas Samsung RB38C7B4EB1/EF,699.99,Samsung,Laisvai pastatoma,E,,matinė juoda,390.0,Su kamera apačioje,203.0,59.5,65.8,,,Samsung
307,Šaldytuvas Bosch KGN86AIDR,1219.99,Bosch,Laisvai statomi,D,,Nerūdijantis plienas,479.0,Laisvai pastatomas,186.0,86,81,,,Bosch
308,Šaldytuvas Gorenje NRK6202ES4,448.01,Gorenje,Laisvai pastatomos,E,,pilka,235.0,Šaldytuvas su apatiniu šaldikliu,200.0,60.0,59.2,246,C,Gorenje
309,Šaldytuvas Samsung RB38C602DSA/EF,646.15,Samsung,Laisvai pastatoma,D,,Sidabrinė,276.0,Su kamera apačioje,203.0,59.5,65.8,,,Samsung
310,"Šaldytuvas Bosch KGN39AIAT 6 serija, Nerūdijančio plieno (atsparus pirštų antspaudams)",1299.99,,Laisvai statomi,A,,Sidabrinė,363.0,Su kamera apačioje,203.0,,,,,Bosch
311,Šaldytuvas Guzzanti GZ 90B1,249.99,GUZZANTI,,E,,Juoda,90.0,"Mini
Su kamera viduje",84.0,,,,,GUZZANTI
312,Šaldytuvas CANDY CCTOS 542WHN,195.99,Candy,Laisvai statomi,F,,Balta,109.0,Mini,85,,,,,Candy
313,Šaldytuvas SAMSUNG RB38C7B6BS9/EF,933.88,Samsung,Laisvai pastatoma,B,,Nerūdijantis plienas,387.0,Su kamera apačioje,203.0,59.5,65.8,,,Samsung
314,"Šaldytuvas Hendi Savitarnos vitrina su apšvietimu, 415 mm",355.99,Hendi,,,,,75.0,Vitrina,41.5,,,,,Hendi
315,Šaldytuvas Electrolux LND5FE18S,475.20,Electrolux,Pastatytas,E,Electronical with LCD,Balta,269.0,Šaldytuvas su apatiniu šaldikliu,177.2,54.6,54.9,221,B,Electrolux
316,Šaldytuvas Liebherr ICNf 5103 „NoFrost“,949.99,Liebherr,Įmontuojami,F,,Balta,183.0,Su kamera apačioje,177.2,,,,,Liebherr
317,Šaldytuvas Beko RDSO206K40WN,231.99,Beko,Laisvai pastatomos,E,Mechaninis,Balta,169.0,Fridge with top freezer,143.0,54.5,55.5,172,C,Beko
318,Šaldytuvas Candy CCTOS 544WHN,234.74,,Laisvai statomi,E,,Balta,109.0,Su kamera viduje,85.0,,,,,Candy
319,"Bosch Bsh Fclwr Wroclaw Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 203 x 60 cm, Juodas šlifuotas plienas, atsparus pirštų atspaudams KGN39VXCT",1612.34,,Laisvai statomi,C,,Pilka,363.0,Su kamera apačioje,203.0,,,,,Bosch
320,Šaldytuvas Snaigė FR24SM-PRDL0E3,409,Snaigė,Laisvai pastatomos,E,,Mėlyna,209.0,Fridge with top freezer,148.0,56.0,63.0,184,C,Snaigė
321,"Laisvai pastatomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje Bosch KGN36VWED Serie | 4, 186 x 60 cm, balta",579.29,Bosch,Laisvai statomi,E,,Balta,324.0,Su kamera apačioje,186.0,,,,,Bosch
322,Šaldytuvas Beko RS9152WN,146.99,Beko,Laisvai pastatomos,E,Mechaninis,Balta,90.0,Fridge without freezer,84.0,48.1,50.0,85,C,Beko
323,"Bosch Bsh Fcli Cerkezkoy Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 186 x 60 cm, Nerūdijančio plieno efektas KGN36XLER",669.70,,Laisvai statomi,A++,,Sidabrinė,324.0,Su kamera apačioje,186.0,,,,,Bosch
324,Beko 176 cm aukščio šaldytuvas šaldiklis Indesit LI7 S2E S,323.15,Beko,Laisvai statomi,E,,Pilka,197.0,Šaldytuvas-Šaldytuvas,176.3,595 mm,655 mm,,,Beko
325,Šaldytuvas Whirlpool ART 6711 SF2,479.99,Whirlpool,Laisvai statomi,E,,Balta,273.0,Šaldytuvas-Šaldytuvas,177.0,557 mm,545 mm,,,Whirlpool
326,Šaldytuvas Kombinuotas šaldytuvas Severin RKS8830 88 Raudona,334.84,Severin,Laisvai pastatoma,D,,Raudona,108.0,Su kamera viduje,89.5,55.0,61.5,,,Severin
327,LIEBHERR CNsfd 5203 Šaldytuvas-šaldiklis,819.99,Liebherr,Laisvai pastatomos,D,Internal touch control LCD,Plienas,330.0,Šaldytuvas su apatiniu šaldikliu,185.5,59.7,67.5,201,C,Liebherr
328,"Bosch KGV362LEA Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 186 x 60 cm, Nerūdijančio plieno efektas",509.60,,Laisvai statomi,E,,Sidabrinė,308.0,Su kamera apačioje,186.0,,,,,Bosch
329,"Įmontuojamas šaldytuvas Bosch KIR81VFF0 4 serija, Baltos spalvos",774.61,,Įmontuojami,F,,Balta,319.0,Be kameros,177.2,,,,,Bosch
330,Bosch | Šaldytuvas | KSV33VLEP | Energy efficiency class E | Free standing | Larder | Height 176 cm | 39 dB | Stainless Steel,637.70,Bosch,Laisvai pastatomos,E,Vidinis elektroninis valdymas,Nerūdijantis plienas,324.0,Fridge without freezer,176.0,60.0,65.0,113,C,Bosch
331,"Šaldytuvas Royal Catering Stiklinė šaldymo vitrina su 3 lygiais, 120 L",745.99,Royal Catering,,b,,,120.0,Vitrina,68.0,,,,,Royal Catering
332,Šaldytuvas -vitrina Snaigė CD29DM-S300SE,529.99,Snaigė,Laisvai pastatoma,E,,Balta,275.0,Vitrina,145.0,60.0,60.0,,,Snaigė
333,Šaldytuvas LIEBHERR CNsfd 5703 Pure NoFrost Šaldytuvo ir šaldiklio derinys su „EasyFresh“ ir „NoFrost“,859.99,Liebherr,Laisvai pastatomos,D,Internal touch control LCD,Plienas,371.0,Šaldytuvas su apatiniu šaldikliu,201.5,59.7,67.5,203,C,Liebherr
334,Šaldytuvas GORENJE R619EAW6,508.80,Gorenje,Laisvai pastatomos,E,External electronic control,Balta,398.0,Fridge without freezer,185.0,59.5,66.3,123,C,Gorenje
335,Šaldytuvas Whirlpool W7X 83A OX 1,461.61,Whirlpool,Laisvai statomi,D,,Nerūdijantis plienas,231.0,Laisvai pastatomas,191.2,59.6,67.8,,,Whirlpool
336,Šaldytuvas Samsung RB38C6B3ES9/EF,594.78,Samsung,Laisvai pastatoma,E,,Nerūdijantis plienas,390.0,Su kamera apačioje,203.0,59.5,65.8,,,Samsung
337,Šaldytuvas GORENJE NRK6202EBXL4,491.99,,Laisvai statomi,E,,Juoda,331.0,Su kamera apačioje,200.0,,,,,Gorenje
338,"Šaldytuvas Bosch KGN392WDF 4 serija, Baltos spalvos",1321.08,,Laisvai statomi,D,,Balta,363.0,Su kamera apačioje,203.0,,,,,Bosch
339,"Šaldytuvas Arktic Šaldymo vitrina su stiklu, 3 lentynos, 78 L",475.99,Arktic,,,,,78.0,Vitrina,,,,,,Arktic
340,LIEBHERR ICe 5103 Įmontuojamas šaldytuvas-šaldiklis,1035.99,Liebherr,Pastatytas,E,Internal touch control LCD,Balta,264.0,Šaldytuvas su apatiniu šaldikliu,177.0,56.0,55.0,228,B,Liebherr
341,Combined šaldytuvas-šaldiklis MPM-182-KB-39 (juodas),325.99,MPM,Laisvai statomi,E,,Juoda,173.0,Su kamera apačioje,142.0,,,,,MPM
342,"Bosch KGN367ICT Serie | 4 laisvai statomas šaldytuvas-šaldiklis, nerūdijančio plieno (atsparus pirštų antspaudams)",849.99,,Laisvai statomi,C,,Sidabrinė,321.0,Su kamera apačioje,186.0,,,,,Bosch
343,"Šaldytuvas Bosch KSV36AIDP 6 serija, Nerūdijančio plieno (atsparus pirštų antspaudams)",809.99,,Laisvai statomi,A+++,,Sidabrinė,346.0,Be kameros,186.0,,,,,Bosch
344,Šaldytuvas Gorenje NRK6192AS4,442.77,Gorenje,Laisvai pastatomos,E,External electronic control,pilka,207.0,Šaldytuvas su apatiniu šaldikliu,186.0,59.5,59.0,243,C,Gorenje
345,Šaldytuvas Whirlpool ART 6510/A+ SF fridge-šaldiklis Built-in Nerūdijantis plienas 275 L A+,539.79,,Įmontuojami,F,,Balta,273.0,Su kamera apačioje,177.0,,,,,Whirlpool
346,Šaldytuvas Gotie GLZ-85I,229.99,Gotie,Laisvai statomi,F,,Sidabrinė,85.0,Su kamera viršuje,,,,,,Gotie
347,Šaldytuvas Liebherr ICBNSd 5123,1526.99,Liebherr,Pastatytas,D,Internal touch control LCD,Balta,174.0,Šaldytuvas su apatiniu šaldikliu,177.0,54.1,54.5,207,B,Liebherr
348,Šaldytuvas AEG SKE818E1DC,810.99,AEG,Pastatytas,E,Internal touch control LCD,Balta,311.0,Fridge without freezer,176.9,55.6,54.9,114,B,AEG
349,Šaldytuvas Whirlpool WHC20 T321,629.99,Whirlpool,Integruota,F,,Pilnai įmontuojama,280.0,Su kamera apačioje,193.5,54.0,54.5,,,Whirlpool
350,LIEBHERR IRe 4100 Įmontuojamas šaldytuvas,869.99,Liebherr,Įmontuojami,E,,Balta,201.0,Be kameros,122.0,,,,,Liebherr
351,LIEBHERR CNd 5203 Pure NoFrost Šaldytuvas-šaldiklis,779.99,Liebherr,Laisvai pastatomos,D,Internal touch control LCD,Balta,330.0,Šaldytuvas su apatiniu šaldikliu,185.5,59.7,67.5,201,C,Liebherr
352,MPM MPM-182-KB-33/AA Šaldytuvas,279.89,MPM,Laisvai statomi,E,,Sidabrinė,173.0,Su kamera apačioje,142.0,,,,,MPM
353,Šaldytuvas BEKO BCNE400E50SHN,858.90,Beko,Pastatytas,D,Internal touch control LCD,Balta,280.0,Šaldytuvas su apatiniu šaldikliu,194.0,69.0,55.0,198,B,Beko
354,LG | Šaldytuvas | GBV3200DPY | Energy efficiency class D | Free standing | Combi | Height 203 cm | No Frost system | Šaldytuvas net capacity 277 L | Šaldiklis net capacity 110 L | Ekranas | 35 dB | Sidabrinis,582.42,LG,Laisvai statomi,D,,Sidabrinė,387.0,Su kamera apačioje,203,,,,,LG
355,"Šaldytuvas Bosch BO010382 KSV36AIEP 6 serija, Nerūdijančio plieno (atsparus pirštų antspaudams)",818.17,,Laisvai statomi,E,,"Sidabrinė
Pilka",346.0,Be kameros,186.0,,,,,Bosch
356,Šaldytuvas Severin GB 8880,213.95,Severin,Laisvai statomi,E,,Juoda,31.0,Be kameros,49.6,0.49,0.46,,,Severin
357,"Šaldytuvas Bosch KSV36AWEP 6 serija, Baltos spalvos",727.20,,Laisvai statomi,A++,,Balta,346.0,Be kameros,186.0,,,,,Bosch
358,Šaldytuvas Mini baras GUZZANTI GZ 06B1,169.99,Guzzanti,,E,,Juoda,46.0,Mini,495.0,,,,,Guzzanti
359,LIEBHERR CTele 2931 Šaldytuvas su šaldikliu viršuje,539.99,Liebherr,Laisvai pastatomos,E,Mechaninis,Nerūdijantis plienas,219.0,Fridge with top freezer,157.1,55.0,63.0,190,C,Liebherr
360,Šaldytuvas Gorenje NRK620EABXL4,528.99,Gorenje,Laisvai pastatomos,E,External electronic control,Juoda,235.0,Šaldytuvas su apatiniu šaldikliu,200.0,60.0,59.2,246,C,Gorenje
361,"Serie | 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 203 x 70 cm, Nerūdijančio plieno (atsparus pirštų antspaudams) KGN492IDF",849.99,,Laisvai statomi,D,,Sidabrinė,311.0,Su kamera apačioje,203.0,,,,,Bosch
362,178 cm. įmontuojamas šaldytuvas su šaldikliu Electrolux ENT6NE18S,633.99,Electrolux,Pastatytas,E,Jutiklinis valdymas,Balta,195.0,Šaldytuvas su apatiniu šaldikliu,177.2,54.6,54.9,216,B,Electrolux
363,Liebherr ICNd 5123 Plus NoFrost Integruojamas šaldytuvo ir šaldiklio derinys su „EasyFresh“ ir „NoFrost“,1426.99,Liebherr,Įmontuojami,D,,Balta,183.0,Su kamera apačioje,177.0,56.0,,,,Liebherr
364,Bosch šaldytuvas-šaldiklis KGN362WDF,627.38,Bosch,Laisvai statomi,D,,Balta,218.0,Laisvai pastatomas,186.0,60,66.5,,,Bosch
365,"Šaldytuvas Samsung RF65DG9H0ESREF, prancūziškos durys (edelstahl, Family Hub, Cool Select+, gėrimų centras)",2415.99,Samsung,,,,,,,,0.97,0.77,,,Samsung
366,Whirlpool W7X93AW,567.93,Whirlpool,Laisvai statomi,D,,Balta,263.0,Laisvai pastatomas,202.7,59.6,67.8,,,Whirlpool
367,Šaldytuvas Whirlpool ARG 7342,349.99,Whirlpool,Integruota,E,,Pilnai įmontuojama,192.0,Vienaduriai,122.7,54.0,54.5,,,Whirlpool
368,Šaldytuvas Gorenje RK4162PW4,294.39,Gorenje,Laisvai pastatomos,E,Mechaninis,Balta,159.0,Šaldytuvas su apatiniu šaldikliu,161.3,55.0,55.7,210,C,Gorenje
369,Šaldytuvas Arktic Šaldymo vitrina su 2 lentynomis,759.99,Arktic,,,,,160.0,Vitrina,,,,,,Arktic
370,Šaldytuvas BEKO BCNE400E40SN,764.08,Beko,įmontuojama,E,Elektroninis,balta,280.0,Su kamera apačioje,194.0,,,,,Beko
371,LIEBHERR ICBSd 5122 Įmontuojamas šaldytuvas-šaldiklis,1219.99,Liebherr,Įmontuojami,D,,Balta,255.0,Su kamera apačioje,177.0,,,,,Liebherr
372,LIEBHERR ICBNd 5163 Įmontuojamas šaldytuvas-šaldiklis,1959.99,Liebherr,Pastatytas,D,Internal touch control LCD,Balta,246.0,Šaldytuvas su apatiniu šaldikliu,177.2,56.0,55.0,208,B,Liebherr
373,Šaldytuvas Whirlpool W7X 93A OX 1,486.23,Whirlpool,Laisvai statomi,D,,Nerūdijantis plienas,263.0,Laisvai pastatomas,202.7,59.6,67.8,,,Whirlpool
374,201 cm aukščio baltos spalvos šaldytuvas su šaldikliu Indesit LI9 S2E W 1,351.60,Indesit,Laisvai statomi,E,,Balta,261.0,Šaldytuvas-Šaldytuvas,201.3,595 mm,655 mm,,,Indesit
375,Šaldytuvas Electrolux LNS6TE19S,690,Electrolux,Pastatytas,E,Internal touch control LCD,Balta,213.0,Šaldytuvas su apatiniu šaldikliu,188.4,54.0,54.9,213,C,Electrolux
376,Šaldytuvas Electrolux LNT7ME36X3,951.99,Electrolux,Laisvai pastatomos,E,External touch control LCD,Nerūdijantis plienas,266.0,Šaldytuvas su apatiniu šaldikliu,201.0,59.5,65.0,250,C,Electrolux
377,Amica šaldytuvas-šaldiklis FK244.4X(E),359.99,Amica,Laisvai statomi,b,,Nerūdijantis plienas,153.0,Laisvai pastatomas,,54,55,,,Amica
378,LG | Šaldytuvas | GBV3100DPY | Energy efficiency class D | Free standing | Combi | Height 186 cm | No Frost system | Šaldytuvas net capacity 234 L | Šaldiklis net capacity 110 L | Ekranas | 35 dB | Sidabrinis,535.99,LG,Laisvai pastatoma,D,,Sidabrinė,344.0,Su kamera apačioje,186.0,59.5,67.5,,,LG
379,Sharp šaldytuvas-šaldiklis SJ-FBB05DTXWE,309.99,Sharp,Laisvai statomi,E,,Balta,204.0,Laisvai pastatomas,180.0,54,59.5,,,Sharp
380,"Šaldytuvas Severin, inox look",133.72,Severin,Laisvai pastatoma,E,,Nerūdijantis plienas,45.0,Su kamera viduje,47.8,44.5,41.8,,,Severin
381,Šaldytuvas LG GBB72PZVCN1,669.99,LG,Laisvai statomi,C,,Pilka,,Dviduriai,203.0,,,,,LG
382,Šaldytuvas Beko B3RCNA404HXB,553.45,Beko,Laisvai pastatomos,E,External touch control LCD,Sidabrinė,355.0,Šaldytuvas su apatiniu šaldikliu,203.0,59.5,66.3,256,C,Beko
383,Šaldytuvas Liebherr CNd 5703 Pure NoFrost Šaldytuvo ir šaldiklio derinys su „EasyFresh“ ir „NoFrost“,819.99,Liebherr,Laisvai pastatomos,D,Internal touch control LCD,Balta,371.0,Šaldytuvas su apatiniu šaldikliu,201.5,59.7,67.5,203,C,Liebherr
384,Šaldytuvas Electrolux RCB736E7MX,643.60,Electrolux,Laisvai pastatomos,E,External touch control LCD,Nerūdijantis plienas,266.0,Šaldytuvas su apatiniu šaldikliu,201.0,59.5,65.0,250,C,Electrolux
385,"Įmontuojamas šaldytuvas Bosch KIR41VFE0 4 serija, Baltos spalvos",643.30,,Įmontuojami,E,,Balta,204.0,Be kameros,122.5,,,,,Bosch
386,Šaldytuvas Severin RKG 8920 Retro Raudona,644.72,Severin,Laisvai statomi,A++,,Raudona,181.0,Su kamera apačioje,18.3,,,,,Severin
387,"Įmontuojamas šaldytuvas Bosch KIR41NSE0 2 serija, Baltos spalvos",499.99,,Įmontuojami,E,,Balta,204.0,Be kameros,122.5,,,,,Bosch
388,Bosch KIN86ADD0 šaldytuvas-šaldiklis Pastatomi 260 L D Balta,1175.11,Bosch,Įmontuojami,D,,Balta,260.0,Su kamera apačioje,177.2,,,,,Bosch
389,Šaldytuvas Snaigė CD14SM-S3JJ3CX3,399.01,Snaigė,Laisvai pastatomos,C,Mechaninis,Juoda,123.0,Vitrina,85.0,56.0,60.0,362,,Snaigė
390,Šaldytuvas Samsung RB38C7B5C12/EF,839.99,Samsung,Laisvai pastatoma,C,,Balta,390.0,Su kamera apačioje,203.0,59.5,65.8,,,Samsung
391,Šaldytuvas Siemens KI86VNSF0,607.20,Siemens,Įmontuojami,F,,baltas,183.0,Su kamera apačioje,177.2,,,,,Siemens
392,Šaldytuvas Snaigė CD35DM-S300CD,619.01,Snaigė,Laisvai pastatomos,D,,Balta,320.0,Vitrina,173.0,60.0,60.0,744,,Snaigė
393,Amica šaldytuvas-šaldiklis BK2265.4(E),376.30,Amica,Įmontuojami,E,,Balta,162.0,Pastatas,,54,54,,,Amica
394,Šaldytuvas SIEMENS KI81RADE0,929.17,Siemens,Įmontuojami,A++,,Balta,319.0,Be kameros,177.2,,,,,Siemens
395,Šaldytuvas Samsung RB36R872PB1,709.20,Samsung,Laisvai statomi,A++,,Juoda,355.0,Su kamera apačioje,201.7,"59,5 cm",59 cm,,,Samsung
396,Šaldytuvas Sharp SJ-BA10DHXLF-EU,509.99,Sharp,,F,,Nerūdijantis plienas,331.0,Su kamera apačioje,186,,,,,Sharp
397,Šaldytuvas HISENSE RR106D4CWE,179.99,Hisense,Laisvai pastatoma,E,,Balta,82.0,Su kamera viduje,86.7,48.0,45.1,,,Hisense
398,Šaldytuvas Gorenje RB39EPW4,179.99,Gorenje,Laisvai pastatomos,E,Mechaninis,Balta,75.0,Fridge with freezer inside,84.2,47.5,44.7,125,C,Gorenje
399,Šaldytuvas Liebherr CTe 2931,499.99,Liebherr,Laisvai pastatomos,,Mechaninis,Balta,,Fridge with top freezer,1.624,55.0,63.0,190,C,Liebherr
400,Šaldytuvas Caso | Dry aging cabinet with compressor technology | DryAged Master 125 | Energy efficiency class Not apply | Free standing | Bottles capacity Not apply | Cooling type Compressor technology | Nerūdijantis plienas,1349.99,Caso,Laisvai statomi,,,Sidabrinė,125.0,Vitrina,82.5,,,,,Caso
401,Šaldytuvas-šaldiklis combination Ravanson LKK-90E,155.99,Ravanson,Laisvai statomi,E,,Balta,81.0,Laisvai pastatomas,83.0,50.50,44,,,Ravanson
402,Šaldytuvas Bosch KIF81PFE0,969.99,Bosch,Įmontuojami,E,,Balta,289.0,,177.2,,,,,Bosch
403,"Bosch KGV36VWEAS Serie | 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 186 x 60 cm, balta",585.99,,Laisvai statomi,A++,,Balta,308.0,Su kamera apačioje,186.0,,,,,Bosch
404,Įmontuojamas Šaldytuvas - Electrolux LRB2AE88S 142L Baltas,299.34,Electrolux,Įmontuojami,E,,Balta,142.0,Be kameros,87.3,,,,,Electrolux
405,ŠALDYTUVAS GBV7280BEV LG,959.99,LG,,,,Juoda,387.0,Su kamera apačioje,203.0,,,,,LG
406,"Šaldytuvas AEG ORC6M331EB 6000-sarjan jääkaappipakastin, musta",583.99,AEG,,,,,,Su kamera apačioje,190.0,0.7,0.7,,,AEG
407,Įmontuojamas 70 cm pločio šaldytuvas su šaldikliu apačioje Electrolux ENG7TE75S,1288.99,Electrolux,Pastatytas,E,Jutiklinis valdymas,Balta,376.0,Šaldytuvas su apatiniu šaldikliu,188.4,69.6,54.9,247,B,Electrolux
408,Šaldytuvas Gorenje ONRK619DBK,989.08,Gorenje,Laisvai pastatomos,D,Internal touch control LCD,Juoda,300.0,Šaldytuvas su apatiniu šaldikliu,194.0,60.0,66.1,192,C,Gorenje
409,Šaldytuvas HISENSE RR106D4CDE,185.99,Hisense,Laisvai pastatoma,E,,Sidabrinė,82.0,Su kamera viduje,,48.0,45.1,,,Hisense
410,Šaldytuvas Bosch KGV366WEP,494.19,,Laisvai statomi,A++,,Balta,214.0,Su kamera apačioje,186.0,,,,,Bosch
411,"Bosch Hisense International Co Serija 2, Ant stalo statomas šaldytuvas, Baltas KTR15NWEB",369.89,,Laisvai statomi,E,,Balta,134.0,Be kameros,85.0,,,,,Bosch
412,Šaldytuvas MPM 357-FF- 31W / AA,509.99,MPM,Laisvai statomi,E,,Balta,323.0,Su kamera apačioje,185.0,,,,,MPM
413,Toshiba Šaldytuvas-šaldiklis GR-RB449WE-PMJ,484.16,Toshiba,Laisvai statomi,E,,pilka,216.0,Laisvai pastatomas,185.5,73.00,66,,,Toshiba
414,MPM 240-FFH-01 / Šaldytuvas,423.95,MPM,Įmontuojami,E,,Balta,246.0,Su kamera apačioje,177.0,54 cm,54 cm,,,MPM
415,Įmontuojamas Mini Šaldytuvas KRONA Gorner,490,Krona,Įmontuojami,A+,,Balta,133.0,Be kameros,,,,,,Krona
416,Šaldytuvas HISENSE RS711N4AFE,779.99,Hisense,Laisvai statomi,A++,,,,Dviduriai,,,,,,Hisense
417,Šaldytuvas VOX KK3300E,249.99,VOX,Laisvai statomi,,,,184.0,Su kamera apačioje,170.0,,,,,VOX
418,"Šaldytuvas Samsung BESPOKE RB38A7B6D41/EF, Glam Navy",789.89,Samsung,Laisvai pastatoma,D,,tamsiai mėlyna,390.0,Su kamera apačioje,203.0,59.5,65.8,,,Samsung
419,"BEKO Šaldytuvas RSSA290M41WN, Energy class E, Height 150.8 cm",324.45,Beko,Laisvai statomi,E,,Balta,,Šaldytuvas,150.8,595 mm,592 mm,,,Beko
420,Šaldytuvas Amica Draugas FM107.4,239.99,Amica,Laisvai statomi,F,,Balta,75.0,Laisvai pastatomas,84.0,45.00,49.5,,,Amica
421,Šaldytuvas Severin DT 8760,399.99,Severin,Laisvai statomi,E,,Balta,206.0,Su kamera viršuje,143.4,,,,,Severin
422,Šaldytuvas Severin RKS 8834,409.99,Severin,Laisvai statomi,A+++,,Žydra,108.0,Su kamera viduje,89.5,,,,,Severin
