id,title,price,brand,Combined_remas,Combined_paskirtis,Combined_tipai,Combined_skersmuo,Combined_gears,Combined_gearsI
897,"Elektrinis dviratis Engwe EP-2 PRO, 20"", 750W, 13Ah, oranžinis",1094.99,Engwe,,,,,,
898,"Elektrinis dviratis Fafrees FF20 Polar, 20"", baltas, 500W, 20,8Ah",1869.99,Fafrees,,,,,,
899,"Elektrinis dviratis Fafrees Hailong One 26"", baltas, 250W, 13Ah",849.99,Fafrees,,,,,,
900,"Elektrinis dviratis Kaisda K7S 20"", 250W, 12,5Ah, oranžinis",764.99,Kaisda,,,,,,
901,"Elektrinis dviratis Hidoes B6, 20"", 1000W, 15Ah, raudonas",1484.99,Hidoes,Aliuminis Moteriškas​,,,28,Shimano Tourney Shimano ST-EF41 Išorinės,3
902,"Elektrinis dviratis Kaisda K2-P-PRO, 20"", 750W, 15Ah, juodas",1317.49,Kaisda,Aliuminis Vyriškas​,Vyrams,,28,Shimano Tourney Shimano Rapidfire ST-EF41 Išorinės,3
903,"Elektrinis dviratis Kaisda K20F, 20"", 250W, 25Ah, raudonas",1444.99,Kaisda,Aliuminis,,,27.5,"Nėra Shimano M310, 8 pavaros Išorinės",1
904,Dviratis 28 CLASSIC STREET 24 LADY DISC 28 baltas classic,609.01,CLASSIC,Aliuminis Vyriškas​,,,28,Shimano Nexus 7-speed Shimano Nexus SL-C3000 Vidinės,1
905,Dviratis 28 CLASSIC STREET 21 MEN EQ 28 etallic classic,507,CLASSIC,Aliuminis,,,20,Nėra Nėra Išorinės,1
906,"Dviratis 27,5 HARO CABALLERO 27,5 yellow haro",699,HARO,Aliuminis Moteriškas​,,,28,Shimano Nexus 7-speed Shimano Nexus SL-C3000 Vidinės,1
907,Dviratis 28 BERGAMONT SUMMERVILLE N7 CB Raudonas red bergamont,849,Bergamont,Aliuminis Unisex,,Vieta,26,Nėra galinio pavarų perjungėjo Shimano 7-pavarų Išorinės,1
908,"Dviratis 20 HARO RACE LITE EXPERT 20,5 juodas/mėlynas haro",599,HARO,Aliuminis,Vaikams,,24,"Shimano RD-TX800 Shimano SL-RS45, 8-speed",
909,Dviratis 28 BERGAMONT HORIZON N7 CB AMSTERDAM CREME bergamont,799,Bergamont,Aliuminis Vyriškas​,Vyrams,,28,Shimano Tourney Shimano ST-EF41 Išorinės,3
910,Dviratis 26 elektrinis Engwe P26 250Wh mėlynas,1149,Engwe,Aliuminis,Vaikams,,26,"SRAM SX Eagle, 12 pavarų SRAM SX Eagle Shifter",1
911,Dviratis 24 BERGAMONT REVOX 24 PURPLE 24 lilac bergamont,499,Bergamont,Aliuminis,Vaikams,,20,"Shimano Tourney TY-300, 6 pavaros Shimano Revo Shifter",
912,Dviratis 28 CLASSIC STREET 24 MEN DISC 28 lack classic,609.01,CLASSIC,Aliuminis,,,29,Shimano Altus Shimano Tourney TY-500,1
913,Dviratis 26 SILVERBACK SCOOP SX 26 red silverback,1999,SILVERBACK,Aliuminis Moteriškas,Vyrams,Vieta,28 28,Shimano Nexus 8 Shimano Nexus SL-C6000-8 8 Vidinės,8 Nėra
914,Dviratis 20 CLASSIC TEAM 20 BOY žalias classic,385,CLASSIC,Aliuminis,Vyrams,,29 29,SHIMANO Altus RD-M310 Shadow Plus SHIMANO Altus SL-M315,3
915,Dviratis 29 CLASSIC TEAM 29 24splack classic,507,CLASSIC,Aliuminis Unisex,Vyrams,Vieta,28 28,Shimano Deore RD-M6000-SGS Shimano SL-T6000 10 Išorinės,10 Nėra
916,Dviratis 28 elektrinis Pegasus Solero E8F Plus 8g wave mėlynas su spyna AXA Victory+Akkuschlos Bosch,2649,Pegasus,Aliuminis Moteriškas,Vyrams,Vieta,28 28,SHIMANO Tourney RD-TY200 SHIMANO Tourney ST-EF41 Išorinės,3
917,Dviratis 29 Bulls Wildtail 2 Disc vyr. 24g šv.mėlynas,749.95,Bulls,Aliuminis,Vyrams,,29 29,SHIMANO Altus RD-M310 SHIMANO ST-EF500,3
918,Dviratis 28 elektrinis Bulls Lacuba EVO 10 555Wh 10g wave juodas,3799,Bulls,Aliuminis,Vyrams,,29 29,SHIMANO Altus RD-M310 Shadow Plus SHIMANO Altus SL-M315,3
919,Dviratis 28 Pegasus Piazza 21g trapez baltas,649.95,Pegasus,Aliuminis Vyriškas,Vyrams,Hibridinis/krosinis,"28 28""",SHIMANO RD-M2000 SHIMANO Altus SL-M2010 27,27 3
920,Dviratis 29 Bulls Sharptail 1 Disc 24 g žalias,749.95,Bulls,Aliuminis Moteriškas,Vyrams,,28 28,SHIMANO Sora RD-R3000 SHIMANO Sora ST-R3000,2
921,Dviratis 29 Bulls Wildtail 2 Disc vyr. 24g juodas matinis,749.95,Bulls,Aliuminis,Apytikslis amžius 11-13 metų Vyrams,,26 26,SHIMANO Tourney RD-TY200 SHIMANO SL-RS36 Revoshift 18,18 1
922,Dviratis 28 Bulls Crossbike 2 vyr. 27g mėlynas,849.95,Bulls,Aliuminis Unisex,Vyrams,Vieta,28 28,Shimano Deore XT RD-M8130-SGS Shadow Plus Shimano Deore XT SL-M8130-R 11 Išorinės,11 Nėra
923,Dviratis 28 Bulls Grinder 2 18g GRAVEL trapez levandų sp.,1399,Bulls,Aliuminis,Apytikslis amžius 7-9 metų Vaikams,,24 24,SHIMANO Tourney RD-TY200 SHIMANO SL-RS36 Revoshift 18,18
924,Dviratis 26 Pegasus Avanti 18g vyr. juodas,599.95,Pegasus,Aliuminis,Apytikslis amžius 11-12 metų Vaikams,,26 26,SHIMANO Nexus SHIMANO Nexus SL-C3000 Revoshift 7,7 1
925,Dviratis 28 elektrinis Bulls Lacuba EVO 11 555Wh wave 11g raudonas,4099,Bulls,Aliuminis,Vyrams,,29 29,SHIMANO Deore XT RD-M8100-12-SGS Shadow Plus SHIMANO Deore XT SL-M8100-IR I-Spec EV,2
926,Dviratis 24 Pegasus Avanti 18g vyr. tamsiai mėlynas 32 cm,599.95,Pegasus,Aliuminis Moteriškas,Vyrams,Hibridinis/krosinis,"28 28""",Shimano Tourney RD-TY300 Shimano Tourney ST-EF41 21,21 3
927,Dviratis 26 Pegasus Avanti 7g wave baltas,649.95,Pegasus,Aliuminis Aliuminis Moteriškas,Vyrams,Hibridinis/krosinis,"28 28""",SHIMANO RD-M2000 SHIMANO Altus SL-M2010 27,27 3
928,Dviratis 29 Bulls Copperhead 3 22g tamsiai mėlynas,1399,Bulls,Aliuminis,Vyrams,,29 29,SHIMANO Deore RD-M5120-SGS Shadow SHIMANO Deore SL-5100-11,2
929,Dviratis 28 Bulls Wildcross trapez 21g baltas,649.95,Bulls,Aliuminis Unisex,Vyrams,Vieta,28 28,Shimano Deore XT RD-M8130-SGS Shadow Plus Shimano Deore XT SL-M8130-R 11 Išorinės,11 Nėra
930,Dviratis 28 Bulls Crossbike 2 trapez 27g juodas,849.95,Bulls,Aliuminis Unisex,,Vieta,20,Shimano 7 pavarų Shimano pavarų perjungimo rankenėlės 7 Išorinės,7 1 priekinė žvaigždė
931,Dviratis 29 Bulls Copperhead 2 22g pilka/žalia,1079,Bulls,Aliuminis Unisex,,Vieta,20,Shimano 7 pavarų Shimano pavarų perjungimo rankenėlės 7 Išorinės,7 1 priekinė žvaigždė
932,Dviratis 28 elektrinis Bulls Lacuba EVO 11 555Wh wave 11g t.pilkas,4099,Bulls,Aliuminis Unisex,,Vieta,27.5,Bafang 3 lygio automatinė pavarų perjungimo sistema Bafang automatinė pavarų perjungimo sistema 3 Vidinės,3 1
933,Dviratis 20 elektrinis Engwe L20 500 Wh baltas,1049,Engwe,Aliuminis Vyriškas,Vyrams,Vieta,26,Shimano Tourney Shimano Tourney 7 Išorinės,7 1
934,Dviratis 20 elektrinis Engwe L20 500 Wh juodas,1049,Engwe,Aliuminis Unisex,,Sulankstomi,24,"Shimano Tourney, 7 pavarų Shimano Tourney Išorinės",1
935,"Dviratis 27,5 elektrinis Engwe P275 Pro juodas",1599,Engwe,Aliuminis,Vaikams,,26,"Shimano RD-M3020, 8 pavarų Shimano SL-RV400, 1x8-speed, revo-shifter",1
936,Dvirtais 26 elektrinis Engwe E26 1000Wh vyriškas žalias,1399,Engwe,Aliuminis Vyriškas,Vyrams,Hibridinis/krosinis,28 28,Shimano Tourney RD-TY300 Shimano Tourney ST-EF41 21,21 3
937,Dviratis 24 EVENING 24 moon pilkas eovolt,2149,,Aliuminis,Vaikams,,20,"Shimano Tourney TY-300, 6 pavaros Shimano Revo Shifter",
938,Dviratis 26 BERGAMONT REVOX 26 LITE LTD Juodas 26 juodas bergamont,649,Bergamont,Aliuminis,Vaikams,,24,"Shimano Tourney TY-300, 7-speed Shimano 7-speed",
939,"Dviratis 28"" Bulls Wildcross vyr. 21g juodo granito",649.95,Bulls,CrMo,,,20 20,,
940,Dviratis 20 CLASSIC PRO 20 GIRL 20 light mėlynas classic,446.01,CLASSIC,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
941,Dviratis 24 CLASSIC TEAM 24 GIRL 24 baltas classic,406,CLASSIC,Aliuminis,"Vyrams
Vaikams",,26 26,SHIMANO Tourney RD-TY200-GS SHIMANO SL-RS36,
942,Dviratis 20 KHE BMX STRIKEDOWN PRO pilkas,799,KHE,Aliuminis Vyriškas,Paaugliams,Vieta,28 28,Nėra Nėra vienos pavaros,1
943,"Dviratis AZIMUT Retro 28"" 2023 light pink",217.80,Azimut,Aliuminis Vyriškas,,Kalnų MTB pilnos amortizacijos,29 29,Shimano Deore RD-M5120-SGS Shimano Cues Išorinės,1
944,"Kita Dviratis 26"" YAZZO Sport 2.6 vyr. 21g juodas",349,Kita,Aliuminis,Paaugliams,,"27.5 27,5","microSHIFT RD-M26C microSHIFT MEZZO TS38, 3x7",3
945,"Dviratis 28"" elektrinis Tenways CGO600 PRO 250Wh vyr. juodas matinis",1798,Tenways,Aliuminis Vyriškas,Paaugliams,Vieta,28 28,Nėra Nėra vienos pavaros,1
946,"Dviratis 29""elektrinis Bulls Sonic EVO TR 1 Fully 750Wh 10g mėlynas",4999,Bulls,Aliuminis,,,24 24,Vidinės,1
947,"Dviratis 27,5"" GT Aggressor Sport juodas G28301M40",479.90,GT-,Aliuminis,Paaugliams,,27.5,"microSHIFT RD-M26C microSHIFT MEZZO TS38, 3x7",3
948,"Dviratis 28"" elektrinis Tenways CGO600 PRO 250Wh vyr. žalias matinis",1798,Tenways,Aliuminis,Paaugliams,,"27.5 27,5 / 29","Shimano RD-M2000, Shadow, 9 pavarų Shimano SL-M2010, 2x9-speed",2
949,"Dviratis 24"" Pegasus sulankstomas Alu P8A 8-G juodas",749.95,Pegasus,Aliuminis,Vaikams,,26,"Shimano RD-M3020, 8 pavarų Shimano SL-RV400, 1x8-speed, revo-shifter",1
950,"Dviratis 27,5"" GT AGGRESSOR 27,5"" SPORT (G28301M10/GUN)",399.90,GT-,Aliuminis,,,29,"Shimano RD-TY300, 7 pavarų Shimano SL-RV200, 3x7 greičių",3
951,"Dviratis 27,5""/29"" BERGAMONT REVOX 4 BRONZE bronze",799,Bergamont,Aliuminis Moteriškas​,,,28,Shimano Nexus 3 Nėra Vidinės,1
952,Dviratis 26 BERGAMONT REVOX 26 LITE Juodas 26 juodas bergamont,649,Bergamont,Aliuminis Unisex,,Sulankstomi,20,Nėra galinio pavarų perjungėjo Nėra Vienos pavaros,1
953,Dviratis 29 BERGAMONT REVOX 2 Juodas juodas bergamont,599,Bergamont,Aliuminis,Vaikams,,26,"Shimano RD-M3020, 8 pavarų Shimano SL-RV400, 1x8-speed, revo-shifter",1
954,Dviratis 28 CLASSIC AVENUE 3 EQ 28 classic,558,CLASSIC,Aliuminis,Vaikams,,20,"Shimano RD-TX800, 8 pavaros Shimano SL-RS45, 8 greičių revo-shifter",
955,Dviratis 20 elektrinis sulankstomas Engwe P20 250Wh olimpyc raudonas,1098.99,Engwe,Aliuminis,,,29 29,"Shimano Cues RD-U6000, 10 pavarų Shimano Cues SL-U6000, 1x10 greičių, Rapidfire",1
956,Dviratis 26 BERGAMONT REVOX 26 LITE DARK Mėlynas 26 dark mėlynas bergamont,649,Bergamont,Aliuminis Vyriškas​,,,28,Shimano Nexus 7-speed Shimano Nexus SL-C3000 Vidinės,1
957,Dviratis 20 BERGAMONT BERGAMONSTER 20 PLUS Geltonas 20 yellow bergamont,479,Bergamont,Aliuminis 6061,,,20,Nėra Shimano Revoshift Išorinės,1
958,Dviratis 29 BERGAMONT REVOX 6 CU mėlynas bergamont,999,Bergamont,Aliuminis Unisex,,Vieta,26,SunRace 7-pavarų SunRace Twist Shifter Išorinės,1
959,Dviratis 28 BERGAMONT SUMMERVILLE N7 FH GENT juodas bergamont,849,Bergamont,,,,,7,7
960,CLASSIC Dviratis 20 CITY SOURCE 20 mėlynas monty s,549,CLASSIC,,,,,,
961,Dviratis 26 E-TRIKE ROCKET XC 26/24 26 monty s,4499,Rocket,,,,,21,21
962,"Elektrinis dviratis Fafrees FF20 Polar, 20"", juodas, 500W, 20,8Ah",1869.99,Fafrees,,,,,,
963,"Elektrinis dviratis Fafrees F28 Pro, 27,5"", auksinis, 250W, 14,5Ah",1317.49,Fafrees,,,,,,
964,"Elektrinis dviratis Eleglide M1 Plus, 27.5"", 250W, 12,5Ah, juodas",889.99,Eleglide,,,,,,
965,"Elektrinis dviratis Fafrees F26 Lasting, 26"", pilkas, 250W, 20,3Ah",1274.99,Fafrees,,,,,7,7
966,"Elektrinis dviratis Duotts F26, 26"", 1500W, 17,5Ah LG, pilkas",1614.99,Duotts,HI-TEN STEEL HI-TEN STEEL,Paaugliams,,28,1,1
967,"Elektrinis dviratis FAFREES F20 Max, 20"", raudonas, 500W, 22,5Ah",1572.49,Fafrees,,,,,,
968,"Elektrinis dviratis Fafrees F20 X- Max 20"", baltas, 750W, 30Ah",2039.99,Fafrees,,"Moterims

Vyrams",,20,,
969,"Dviratis AZIMUT Retro 28"" 2023 turquoise",217.90,Azimut,,Paaugliams,,,,
970,GZR Torqu-e 28 -sähköpyörä,1235.99,GZR,,Vyrams,,,,
971,"Elektrinis dviratis HIMO ZB20 MAX, Geltonas/Smėlio spalvos",1085.37,Himo,,,,,,
972,"Baana Noux -gravelpyörä, S/48 cm",1419.99,Baana,Aliuminis Moteriškas,Moterims,Kalnų MTB,26,Shimano Tourney 7-speed Shimano Tourney 7 Išorinės,7 1
973,"Baana Hermanni 28 -retropyörä, musta",289.99,Baana,Aliuminis Unisex,,Kalnų MTB,26,Shimano Altus 8-speed Shimano Altus Išorinės,1
974,"Baana Suokki 20 -polkupyörä, 1-vaihteinen, keltainen",249.99,Baana,Aliuminis,Vaikams,,26,Netaikoma (single speed) Netaikoma (single speed),1
975,Dviratis 26 elektrinis Engwe E26 ST moteriškas 750Wh žalias,1399,Engwe,"Aliuminis 19"" / M 19 ALLOY",Paaugliams,,28,24,24
976,Dviratis 26 elektrinis sulankstomas Engwe X26 1200Wh dviguba baterija pilkas,1899,Engwe,,,,,,
977,Dviratis 26 BERGAMONT KIEZ 040 26 red bergamont,679,Bergamont,Aliuminis M(19) 19 ALLOY,Paaugliams,,28,3,3
978,"Dviratis Romet Wagant 5 28"" 2022 sidabrinis-graphite-19"" / M (Dydis: 19"" / M)",447.75,Romet,"ALLOY 23"" / 29 / XXL 23 ALLOY",,,23,12,12
979,Hurtel Neperšlampamas balno užvalkalas - juodas,9.52,Hurtel,,,,,,
980,Dviratis Romet Wagant 5 2020 sidabrinis-M(19) (Dydis: M(19)),398.90,Romet,,,,,,
981,"Elektrinis dviratis Cube Reaction Hybrid Race 750 29 pilkas'n'metal 2023-23"" / 29 / XXL (Dydis: 23"" / 29 / XXL)",3513.90,Cube,,,,,,
982,Dunlop MTB dviračio balnelis 41968,30.47,Dunlop,,,,,,
983,Dviratis treniruoklis Nordictrack Commercial S27i NTEX02722,3687.25,,,,,,,
984,Dunlop dviračių skambutis Ø 48 mm,15.53,Dunlop,anglies,,,,,
985,dviratininko šalmas 92800617500,59.22,,,,,,,
986,Rower spiningowy Nordictrack Commercial S10i NTEX03122,2274.14,,,,,,,
987,Mountain bike MMR RAKISH 00 - Juodas N Raudona - dydis L / 23/2024,2615.99,MMR,,,,,,
988,HMS Premium magnetinis dviratis M1829-i,584.61,,,Vaikams,,,,
989,Schwinn 570E programuojamas orbitinis treniruoklis,1708.89,,,Vaikams,,,,
990,Radvik kurer šalmas 92800407734,54.91,Radvik,,,,,,
991,Spokey Police Jr dviratininko šalmas 927857,29.91,Spokey,,,,12,,
992,Globber Elite Lights 507-110 Jr šalmas HS-TNK-000011575,48.43,Globber,,,,,,
993,Pirštinės Globber Jr 528-110 XS 2+ HS-TNK-000011048,22.58,Globber,,,,,,
994,Spokey Woo Ride Duo krosinis dviratis 940904,84,Spokey,,Vaikams,,,,
995,Roces Aggressive šalmas 300756 008,62.49,Roces,,,,,,
996,Duracell priekinis + galinis 1 LED dviračių žibintų rinkinys 00919,21.70,,,,,,,
997,Meteor MA-2 Monsters Jr dviratininko šalmas 24568-24569,35.10,,,Vaikams,,,,
998,Globber daugiaspalvė LED šviesa 522-120 HS-TNK-000009194,20.29,Globber,,,,,,
999,Tempish Raybow Jr šalmas 102001121,39.03,Tempish,,Vaikams,,,,
1000,Globber Elite Lights šalmas 507-120 HS-TNK-000011576,48.43,Globber,,Vaikams,,,,
1001,Spokey Cherub Jr šalmas 927786,35.28,Spokey,,,,,,
1002,Globber Elite Lights Jr šalmas 507-102 HS-TNK-000013847,48.43,Globber,,Vaikams,,,,
1003,Spokey Strapy 1 dviratininko šalmas 44-48 cm Jr 927773,32.57,Spokey,,Vaikams,,,,
1004,Globber Explorer Trike Teal 630-105 HS-TNK-000013813 krosinis triratis,103.66,Globber,,,,,,
1005,Meteor PNY 11 Jr dviratininko šalmas 25243,42.67,,,,,,,
1006,Globber Jr šalmas 505-106,40.23,Globber,,,,,,
1007,Evolution lanksčios pirštinės SB-310,29.19,Evolution,,Vaikams,,,,
1008,Kūno skulptūra E1660 V2 magnetinis orbitinis aparatas,380.84,,,,,,,
1009,Dunlop dviračių varpas 80 mm 2060155,20.86,Dunlop,,,,,,
1010,Spokey Hasbro Pony Jr dviratininko šalmas 941342,33.21,Hasbro,,Vaikams,,,,
1011,Spokey Onego treniruoklis 928654,105.51,Spokey,,,,,,
1012,adidas X SG League apsauginės juostos IA0843,37.66,Adidas,,,,,,
1013,Meteor dviratininko šalmas PNY11 Jr 25233,37.82,,,,,,,
1014,Radvik stikke dviratininkų pirštinės 92800356991,21.36,Radvik,,,,,,
1015,Radvik runde W dviratininkų pirštinės 92800356982,25.34,Radvik,,Vaikams,,,,
1016,adidas Tiro League M apsaugos HN5606,35.55,Adidas,,,,,,
1017,adidas Predator SG League futbolo apsaugos HY4080,36.64,Adidas,,,,,,
1018,Globber Go Bike Elite Air krosinis dviratis 714-210,112.28,Globber,,,,,,
1019,Spokey Pointer Pro dviratininko šalmas 58-61 cm 6506101000 941264,78.79,Spokey,,,,,,
1020,Apranga adidas X SG League HF9729,33.42,Adidas,,,,,,
1021,Dviračių pirštinės Ride Long M BK 6116930000,33.11,Ride,,,,,,
1022,Schwinn elipsinis užprogramuotas kompaktiškas dviratis 590E 100955,2556.75,,,,,,,
1023,Radvik Vox Gts M dviratininkų pirštinės 92800493073,34.81,Radvik,,,,,,
1024,Adidas Tiro Club futbolo apsauginės liemenės IP3992,28.34,Adidas,,,,,,
1025,Dviračių pirštinės Spokey Avare M SPK-941081 dydis L,27.35,Spokey,,,,,,
1026,Roces Aggressive šalmas juodas 300756 05,62.24,Roces,,,,,,
1027,Spokey Stars Jr dviratininko šalmas 927771,28.89,Spokey,,,,,,
1028,Reebok fitneso treniruočių pirštinės I300/Mėlynas,30.86,Reebok,,,,,,
1029,"GZR Volar-e 49 cm -sähköpyörä, vihreä/musta",3179.99,GZR,,,,,,
1030,"Dviračio spyna Gerda grandinė, apvali korpusas, raktų apsauga Contra 900/6V 0SCN009000606V2XP",28.66,Gerda,,,,,,
1031,IQ Louise pirštinės,29.31,,Aliuminis 28 ALLOY,Moterims,,28,3,3
1032,dviračio žibintas Spokley Holdi S,33.93,,,,,,,
1033,Adidas Tiro Sg Eu Club IW3794 futbolo blauzdinės,28.34,Adidas,"Aliuminis 21"" / XL 21 ALLOY",,,21,21,21
1034,"Dviratis AZIMUT Sarema ALU 28"" 3-speed 2023 matinis juodas",388.90,Azimut,,Vyrams,,,,
1035,Schwinn IC7 stacionarus dviratis,1200.17,,,,,,,
1036,"Dviratis Romet Rambler R7.1 2024 dark mėlynas-21"" / XL (Dydis: 21"" / XL)",398.90,Romet,,,,,,
1037,vyriškos dviračių pirštinės,29.83,,,,,,,
1038,Pink Vežimėlis su trimis ratukais Berry Rožinė Rose,178.85,Pink,,,,,,
1039,Vežimėlis su trimis ratukais Berry Pilkas Stone,166.42,,,,,,,
1040,Triratis dviratis Berry Žalias Forest,166.42,,,,,,,Taip
1041,dviračio spyna Gerda Contra 900/8W OSCN0090008 06W2ZP,43.15,Gerda,Aliuminis Unisex,,Sulankstomi,20 20,Shimano 6-pavarų Shimano Išorinės,1
1042,Elektromagnetinis orbitrekas HMS Premium H1833-i,1049.26,,,,,,,
1043,Rockbros poliarizuojantys dviračių akiniai – pilki,15.66,Rockbros,,,,,,
1044,"Volta Motors Dviratis 20"" elektrinis sulankstomas VTA VB1 250W juodas",699,Volta Motors,23.2,,,,,
1045,Radvik Grippe dviračių rankenos,18.59,Radvik,,,,,,
1046,"Dviračio remonto stovas, 120-165cm, aliuminis, sulankstomas",160.51,,anglies,,,,,40
1047,"Fiksuotos pavaros dviratis, baltas ir žalias, 700c, 59cm",232.71,vidaXL,,,,,,
1048,"GZR Heritag-e -sähköpyörä, 52 cm",4235.99,GZR,,,,,,
1049,MMR MPN,2549.99,MMR,anglies,,,,,50/34
1050,Triratis raudonas,240.94,,anglies,,,,,
1051,"GZR Integral-e -sähköpyörä, 46 cm",3249.99,GZR,anglies,,,,,50/34
1052,MMR MPN,3359.99,MMR,anglies,,,,,34
1053,Gravel bike MMR X-TOUR 00 - Liquid Moss Žalias dydis S / 23/2024,2849.99,MMR,Aliuminis,Suaugusiems,,26,6 6,6 6
1054,MMR MPN,2059.99,MMR,anglies,,,,,50/34
1055,MMR MPN,2219.99,MMR,anglies,,,,,50/34
1056,"HIMO C30S, elektrinis dviratis, sidabrinis",1012.04,Himo,anglies,,,,,50/34
1057,MMR MPN,3839.99,MMR,anglies,,,,,
1058,MMR MPN,2719.99,MMR,anglies,,,,,40
1059,MMR MPN,3839.99,MMR,anglies,,,,,50/34
1060,MMR MPN,3199.99,MMR,anglies,,,,,50/34
1061,MMR MPN,2299.99,MMR,anglies,,,,,50/34
1062,MMR MPN,2719.99,MMR,anglies,,,,,50/34
1063,MMR MPN,2719.99,MMR,anglies,,,,,50/34
1064,MMR MPN,2719.99,MMR,anglies,,,,,
1065,MMR MPN,2719.99,MMR,anglies,,,,,50/34
1066,MMR MPN,2059.99,MMR,anglies,,,,,34
1067,MMR MPN,3199.99,MMR,anglies,,,,,48/35
1068,MMR MPN,2879.99,MMR,anglies,,,,,40
1069,MMR MPN,4505.99,MMR,anglies,,,,,50/34
1070,MMR MPN,4039.99,MMR,anglies,,,,,40
1071,MMR MPN,2165.99,MMR,anglies,,,,,48/31
1072,MMR MPN,3359.99,MMR,anglies,,,,,34
1073,MMR MPN,2879.99,MMR,anglies,,,,,50/34
1074,MMR MPN,4319.99,MMR,anglies,,,,,48/35
1075,MMR MPN,3359.99,MMR,anglies,,,,,34
1076,MMR MPN,2059.99,MMR,anglies,,,,,50/34
1077,MMR MPN,3959.99,MMR,anglies,,,,,50/34
1078,MMR MPN,3359.99,MMR,anglies,,,,,50/34
1079,MMR MPN,2879.99,MMR,anglies,,,,,34
1080,MMR MPN,2719.99,MMR,anglies,,,,,50/34
1081,MMR MPN,3199.99,MMR,anglies,,,,,34
1082,MMR MPN,3439.99,MMR,anglies,,,,,48/35
1083,MMR MPN,4319.99,MMR,,,,,,
1084,MMR MPN,3699.99,MMR,"Aliuminis 19"" / L 19 ALLOY",Paaugliams,,28,21,21
1085,MMR MPN,4039.99,MMR,23.2,,,,,
1086,Adidas Predator SG treniruočių futbolo protektoriai HY4078,31.76,Adidas,23.2,,,,,
1087,"Dviratis Romet Orkan M 2024 graphite-red-19"" / L (Dydis: 19"" / L)",368.90,Romet,21.7,,,,,
1088,"Fiksuotos pavaros dviratis, baltas ir juodas, 700c, 59cm",285.38,vidaXL,,Paaugliams,,27.5,21,21
1089,"Fiksuotos pavaros dviratis, juodas ir oranžinis, 700c, 59cm",263.59,vidaXL,20.1,,,,,
1090,"Fiksuotos pavaros dviratis, baltas ir oranžinis, 700c, 55cm",243.26,vidaXL,21.7,,,,,
1091,"Kalnų dviratis, raudonas, 21 greitis, 27,5 colių ratai",247.14,vidaXL,,,,,,
1092,"Fiksuotos pavaros dviratis, juodas ir žalias, 700c, 51cm",223.47,vidaXL,,,,,,
1093,"Fiksuotos pavaros dviratis, juodas ir oranžinis, 700c, 55cm",259.25,vidaXL,,,,,,
1094,adidas Tiro Training futbolo kamuolio apsaugos IP3998,30.73,Adidas,,,,,,
1095,adidas Tiro Match Club futbolo kamuolio apsauginės juostos IP3997,33.83,Adidas,,,,,,
1096,Dviračių užraktas Meteor Blocker 31549,19.35,,,,,,,
1097,Meteor Flex dviračių žibintų rinkinys 31528,20.12,Flex,,,,,,2 ratai 1 naudotojas (-ai)
1098,Meteor Twister dviračių užraktas 31548,29.72,,,Vaikams,,,,
1099,Bėgimo dviratis GALAXY rožinis,105.45,,,Vaikams,,,,
1100,3in 1 dviratukas OPTIMUS Juoda spalva,86.56,Optimus,,Vaikams,,,,
1101,Pink Bėgimo dviratukas XPLOIT BUBBLEGUM Rožinis,152.90,Pink,,,,,,Taip
1102,Lux Trike“ – raudonas triratis dviratukas su LED žibintais,154.04,,,Vaikams,,12,,
1103,LIONELO bėgimo dviratukas Bart Tour Rožinė Bubblegum,147.58,Lionelo,,Vaikams,,,,
1104,Rockbros dviračių laikiklis – juodas,34.45,Rockbros,,,,,,
1105,TWIST bėgimo dviratukas rožinės ir violetinės spalvos,74.76,,Metalas,,,,,
1106,Qplay Bėgimo dviratukas Racer pilkas,123.31,Qplay,,,,,,Taip
1107,Qplay Bėgimo dviratis Racer žalias,144.60,Qplay,CARBON XL(21) 21 CARBON,Vyrams,,29,12,12
1108,Bėgimo dviratis DRAGON su MINT spalvos stabdžiu,75.55,Dragon,,,,,,
1109,Rockbros dviračio šalmas M dydžio - mėlynos ir rožinės spalvos,46.15,Rockbros,Aliuminis 50 cm / S ALLOY,"Moterims
Vyrams",,,9,9
1110,Dviratis Merida BIG.NINE 3000 silk lime-XL(21) (Dydis: XL(21)),1868.90,Merida,"Aliuminis 20"" / L 20 ALLOY",Paaugliams,,28,3,3
1111,"Radio VALAC sukomplektuotas dviratis, juoda/balta, 20,75''TT",453.90,RADIO,Aliuminis,"Moterims

Vyrams",,,,
1112,Elektrinis dviratis Cube Touring Hybrid ONE 500 darkgreen'n'žalias 2023-50 cm / S (Dydis: 50 cm / S),1988.90,Cube,HI-TEN STEEL 17 HI-TEN STEEL,Moterims,,28,7,7
1113,"Dviratis Romet Vintage Classic D 28"" Alu 2022 tamsiai turkis-20"" / L (Dydis: 20"" / L)",338.80,Romet,,Vaikams,,,25,25
1114,"Beaster Scooter El. Dviratis BEASTER, BS111W",1255.90,Beaster Scooter,Aliuminis Vyriškas,Vyrams,Vieta,"28 28""",SHIMANO Altus RD-M310 SHIMANO Acera ST-EF500 24 Išorinės,24 3
1115,"Dviratis AZIMUT Vintage TX-7 28"" 2023 juodas-cream matt",301.90,Azimut,HI-TEN STEEL HI-TEN STEEL,Vyrams,,,3,3
